label,text
positif,"Mentari terbenam temani dalam kesendirianku Temani aku dalam kepedihan ini Ku bertahan Mentari terbenam beri semangat baru tuk jiwaku Beri kicauan merdu tuk hidupku ini Ku bertahan Aku pasti bisa Menikmati semua dan menghadapinya Aku yakin pasti bisa Mentari terbenam beri semangat baru tuk jiwaku Beri kicauan merdu tuk hidupku ini Ku bertahan Aku pasti bisa Menikmati semua dan menghadapinya Aku yakin pasti bisa Aku pasti bisa  Menikmati semua"
positif,"Yo kujelang matahari dengan segelas teh panas Di pagi ini ku bebas karna nggak ada kelas Di ruang mata ini kamar ini srasa luas Letih dan lelah juga lambat lambat terkuras Teh sudah habis kerongkongan ku pun puas Mulai ku tulis semua kehidupan di kertas Hari hari yang keras kisah cinta yang pedas Perasaan yang was was dan gerakku yang terbatas Tinta yang keluar dari dalam pena Berirama dengan apa yang kurasa Dalam hati ini ingin kuubah semua Kehidupan monoton penuh luka putus asa Tinggalkanlah gengsi, hidup berawal dari mimpi Gantungkan yang tinggi, agar semua terjadi Rasakan semua peduli tuk roni tragedi Senang bahagia hingga kelak kau mati Yo yo dunia memang tak selebar daun kelor Akal dan pikiran ku pun tak selamanya kotor Membuka mata"
positif,"Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Kita pasti pernah Dapatkan cobaan yang berat Tak ada artinya lagi Syukuri apa yang ada Hidup adalah anugrah Tetap jalani hidup ini Melakukan yang terbaik Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Syukuri apa yang ada Hidup adalah anugrah Tetap jalani hidup ini Melakukan yang terbaik Tuhan pasti kan menunjukkan Kebesaran dan kuasaNya Bagi hambaNya yang sabar Dan tak kenal putus asa Jangan menyerah Jangan menyerah Jangan menyerah Jangan"
positif,"Ku tatap dunia Terasa perih luka didada Pertempuran manusia Yang buta indahnya perbedaan Oh indahnya Ku bisa engkaupun bisa Melupakan kebencian yang ada Bersama kita terluka Bersama kita bisa tertawa Dan tertawa Ayo bangun dunia didalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Bayangkan dan senyumlah Mahkota emas tiada artinya Ketika raja dan ratu Memimpin dunia semua bersatu Dan bersatu Ayo bangun dunia didalam perbedaan Jika satu tetap kuat kita bersinar Harus percaya tak ada yang sempurna Dan dunia kembali tertawa Jabat erat tangan ku kawan a aa aaa Kau tak akan pernah sendiri a aa aaa Hancurkan dendam Dengan cinta didada Untuk semua Manusia Ayo bangun dunia didalam perbedaan Jika satu"
positif,"Apa yang kau takutkan Dengan semua ini Bukankah kesedihan Sering kita alami Keadaan ini Buat kita terbiasa Dengarkan ku bicara Teruslah bermimpi Walau kenyataannya jauh berbeda Teruslah bermimpi Jangan berhenti Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya Menghentikan pikiran dengan mata terpejam Menunggu malam bisa hapus kenyataan Biar saja mimpi jauh membawa kita Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya Tetap tersenyumlah Biar"
positif,"Hadapi dengan senyuman Semua yang terjadi biar terjadi Hadapi dengan tenang jiwa Semua kan baik-baik saja Bila ketetapan Tuhan Sudah ditetapkan Tetaplah sudah Tak ada yang bisa merubah Dan takkan bisa berubah Relakanlah saja ini Bahwa semua yang terbaik Terbaik untuk kita semua Menyerahlah untuk menang Hadapi dengan senyuman Semua yang terjadi biar terjadi Hadapi dengan tenang jiwa Semua kan baik baik saja Bila ketetapan Tuhan Sudah ditetapkan Tetaplah sudah Tak ada yang bisa merubah Dan takkan bisa berubah Relakanlah saja ini Bahwa semua yang terbaik Terbaik untuk kita semua Menyerahlah untuk menang Hadapi dengan senyuman Semua"
positif,"mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya laskar pelangi  takkan terikat waktu bebaskan mimpimu di angkasa warnai bintang dijiwa menarilah dan terus tertawa walau dunia tak seindah surga bersyukurlah pada Yang Kuasa cinta kita di dunia selamanya cinta kepada hidup memberikan senyuman abadi walau hidup kadang tak adil tapi cinta lengkapi kita laskar pelangi takkan terikat waktu jangan berhenti mewarnai jutaan mimpi di bumi o menarilah"
negatif,"Telah lama aku bertahan Demi cinta wujudkan sebuah harapan Namun ku rasa cukup ku menunggu Semua rasa tlah hilang Sekarang aku tersadar Cinta yang kutunggu tak kunjung datang Apalah arti aku menunggu Bila kamu tak cinta lagi Namun ku rasa cukup ku menunggu semua rasa tlah hilang Dahulu kaulah segalanya Dahulu hanya dirimu yang ada di hatiku Namun sekarang aku mengerti Tak perlu ku menunggu sebuah cinta yang semu"
negatif,"Tubuh saling bersandar Ke arah mata angin berbeda Kau menunggu datangnya malam Saat ku menanti fajar Sudah coba berbagai cara Agar kita tetap bersama Yang tersisa dari kisah ini Hanya kau takut kuhilang Perdebatan apapun menuju kata pisah Jangan paksakan genggamanmu Izinkan ku pergi dulu Yang berubah hanya Tak lagi kumilikmu Kau masih bisa melihatku Kau harus percaya Kutetap teman baikmu Sudah coba berbagai cara Agar kita tetap bersama Yang tersisa dari kisah ini Hanya kau takut kuhilang Perdebatan apapun menuju kata pisah Jangan paksakan genggamanmu Yang berubah hanya Tak lagi kumilikmu Kau harus percaya Kutetap teman baikmu Izinkan aku pergi  dulu Yang berubah hanya Tak lagi kumilikmu Kau masih bisa melihatku Kau harus percaya Kutetap teman baikmu"
negatif," Ku ingin cinta hadir untuk selamanya Bukan hanya lah untuk sementara Menyapa dan hilang Terbit tenggelam bagai pelangi Yang indahnya hanya sesaat Tuk ku lihat dia mewarnai hari Tetaplah engkau disini Jangan datang lalu kau pergi Jangan anggap hatiku Jadi tempat persinggahanmu Untuk cinta sesaat Mengapa ku tak bisa jadi Cinta yang tak akan pernah terganti ku hanya menjadi cinta yang tak akan terjadi Lalu mengapa kau masih disini Memperpanjang harapan Tetaplah engkau disini  Jangan datang lalu kau pergi Jangan anggap hatiku Jadi tempat persinggahanmu Untuk cinta sesaat Kau bagai kata yang terus melaju Di luasnya ombak samudera biru Namun sayangnya kau tak pilih aku Jadi pelabuhanmu Tetaplah engkau disini Jangan datang lalu kau pergi Jangan anggap hatiku Jadi tempat persinggahanmu Bila tak ingin disini Jangan berlalu lalang lagi Biarkanlah hatiku Mencari cinta sejati Wahai cintaku Wahai cinta sesaat"
negatif,"Aku memang orang biasa Wujudku memang tak sempurna, sempurna Tapi aku punya niat Aku punya seribu usaha, usaha Tapi kau tak pernah melihatnya Kau tak pernah menghargainya Kamu buta Beretika Lewat lisanmu itu Di mana letak benakmu Aku bukan binatang, aku manusia Hanya dengan sebelah mata Tampak luarku yang kau cerna, huuu Jadikan salahmu pelajaran Patokanku bukan nominal Nominal, nominal Tapi kau tak pernah melihatnya Kau tak pernah menghargainya Menghargainya, menghargainya Kamu buta Beretika Lewat lisanmu itu Di mana letak benakmu Aku bukan binatang, aku manusia"
